var,n_pairs,mean_diff,median_diff,wilcoxon_p
severity_composite,785,0.08681862886232318,0.0,0.06449058585319364
sle_count,785,0.0780891719745223,0.0,0.09095676249616041
or_max,785,0.2012516567303609,0.0,0.012171678110847432
n_dependent,785,-0.00046709129511677004,0.0,0.9425345709235773
n_independent,785,-0.01526539278131634,0.0,0.9756852963662176
