neighbor,partial_cor
Depressive symptom count,0.2709291055301246
Lifetime stressful events,0.11994806935036148
Ever hospitalised,0.11755834949402073
Neuroticism,0.09679988534784775
Age of onset,-0.06412510977961268
Comorbid panic,0.04639819674608029
Comorbid GAD,0.03574235664361185
Social support,-0.02943696639920375
Number of episodes,0.021935880136706113
Family history: mania,0.013853969188382071
Maternal care,0.005735761959131007
