category,n_pairs,mean_diff,wilcoxon_p
위협적 사건 수,785,0.0621656050955414,0.00012984431949174076
갈등 사건 수,785,0.05961783439490447,0.0007206438093862548
경제적 사건 수,785,-0.024755838641188948,0.5094806821971269
대인관계 사건 수,785,-0.010084925690021227,0.6210321590885843
기타 사건 수,785,-0.01409766454352441,0.6576253590322966
의존적 사건 수,785,-0.00046709129511677004,0.9425345709235773
독립적 사건 수,785,-0.01526539278131634,0.9756852963662176
