var,control_mean,control_sd,mdd_mean,mdd_sd,t,p
age,50.409314529353885,7.083889328202961,51.190333333333335,11.82043488127586,3.1108493706239995,0.001876241039718227
Nscore_,5.897343391275828,4.90576781969393,15.383,5.4180035610480335,71.34254196795432,0.0
SLEscore_,1.358806165956051,1.4692234247827907,3.388333333333333,2.461479944409013,38.860130792566906,4.72302374815364e-288
csa_any,0.15710068875040997,0.36395536436066006,0.319,0.46616674821968507,15.039621968715144,3.7092608965983664e-50
