neighbor,partial_cor
Worthless,0.1355261173127131
Feeling trapped,0.09705096789992511
Hopeless,0.0854216810270661
Crying,0.07729543611053985
Self-blame,0.0531036415947239
Restless sleep,0.05180716708427175
Poor appetite,0.04653132447866761
No interest,0.026781245264290866
No pleasure,0.025360943470341856
Everything effortful,0.013740988436795542
Trouble falling asleep,0.007446662581389496
Low energy,0.0067042023608324995
Lonely,0.003364899579497409
