,kmo,bartlett_chi2,bartlett_p,n
pbi_father,0.9102921019525542,44767.62683100166,0.0,5675.0
pbi_mother,0.9123650158997698,39764.919057093626,0.0,5952.0
social_support,0.6909835445352206,13028.615452031048,0.0,5350.0
