stratum,chi2,p,group0,n0,rate0,group1,n1,rate1
CSA (any vs none),13.352075997851346,0.0002581367087208797,No CSA,2001,0.2318840579710145,CSA,922,0.28308026030368766
Melancholic subtype,19.86199706320369,8.323869279291962e-06,No,408,0.1642156862745098,Yes,2515,0.2616302186878728
Family history of depression,0.8056982253606736,0.36939513584941575,No FH,1344,0.24107142857142858,FH+,1579,0.2539582013932869
Early (<=25) vs later onset,26.1398633878588,3.1755979390535316e-07,Onset >25,1983,0.20776601109430157,Onset <=25,940,0.33297872340425533
