neighbor,partial_cor
Worthless,0.14106486136671847
Crying,0.13469662516182795
Hopeless,0.12010549677651618
Self-blame,0.11665783426022346
Feeling trapped,0.11471350381472864
Low energy,0.07515671388015514
Poor appetite,0.05306965732163179
Restless sleep,0.0493435389560637
Trouble falling asleep,0.013236344263575691
Feeling blue,0.012020776527858405
Everything effortful,0.0043810888798285616
No interest,0.003063458662108038
