neighbor,partial_cor
Crying,0.15941490972841219
Self-blame,0.13589815847479006
Worthless,0.12273606687980036
Hopeless,0.12076980551160284
Low energy,0.10804051037468766
Feeling trapped,0.09954036683340468
Poor appetite,0.05149288552521943
Restless sleep,0.04172708933333729
Feeling blue,0.01920997794144032
Trouble falling asleep,0.006801232304056453
Everything effortful,0.0004396959507546485
