,OR,CI_low,CI_high,p
dsm_symptom_count,1.5809989599027543,1.3588230973123703,1.8395019308675948,3.0601974455814715e-09
SLEscore_,1.2686753219300049,1.117343304346644,1.440503618013233,0.00024063332484011563
edu_level,0.7740484360083022,0.6742541319044116,0.888612991654369,0.00027597086078873673
age,0.7591681622502526,0.6409809664120971,0.8991472895060815,0.0014166418545042984
Nscore_,1.1842289273667688,1.0324716040856283,1.3582922250479046,0.015662981351655468
panic_bin,1.3468254092247725,1.0506436468717206,1.7265023096408165,0.018780793221610935
age_onset,0.8593422086480714,0.7519053820673235,0.9821302642278799,0.02610969651834658
fh_man_ratio,1.1086617621711596,1.0009891632017838,1.2279162932882695,0.04782377432444765
n_episodes,1.1017892897958341,1.0006725786251767,1.213123718026369,0.0484211664204081
marital_Widowed,0.5723040342416165,0.32424601381319235,1.0101339527891007,0.05420663955274915
fh_dep_ratio,0.8935744600211687,0.7939867895024159,1.0056531495977663,0.06197712069762374
csa_any,0.8022119480756147,0.6213348603860729,1.0357442510716364,0.09092160814233094
melancholia_bin,1.4247549767861838,0.9327576807445547,2.1762637668731406,0.10144420169845667
marital_NeverMarried,0.7101146050768248,0.46918547598457055,1.074762067784037,0.10545086961164993
marital_Married,0.7922095870350979,0.5800091373745915,1.0820450736882021,0.14312036165655703
pbi_mother_care,1.0912787551206822,0.9632933805949385,1.2362685609261033,0.16993940373122363
pbi_mother_overprotect,1.0822467077276494,0.9537371224389646,1.228072084886569,0.22037819645789192
manic_bin,1.1569892831696418,0.8990612237069827,1.4889132865168246,0.25715935962397507
social_support,0.9410544395016894,0.8442968662352865,1.048900562730558,0.27241903057078565
gad_bin,1.1403116494537007,0.8993353369929189,1.4458574064571177,0.2783576460311711
pbi_father_overprotect,0.9691223535286083,0.8561582179245172,1.0969913229188124,0.6198886501710725
marital_Separated,0.8565549014602771,0.4315427160758801,1.7001475679793836,0.658002957464089
atypical_bin,1.038381265502205,0.8247521817357244,1.3073450139613698,0.748603501285196
social_conflict,1.0122275091855522,0.9021382018747616,1.1357511833804668,0.8361049971352373
pbi_father_care,0.9944083034619677,0.8816837891035972,1.121544805762466,0.9272174091590503
