var,n,chi2,dof,p
marital,2999,52.150847678067215,4,1.2828107102605048e-10
employment,3000,26.4416534696603,6,0.00018417463269134702
alcohol,3000,10.431994673215893,1,0.001238509119967475
education,2999,19.83668027082363,5,0.001341053485548219
occupation,2999,16.696859007432224,4,0.0022134096108094165
substance,3000,0.2370513458272873,1,0.6263439468600218
