network,n,strength,expected_influence,betweenness,closeness
full,6044,0.8375098998712359,0.8375098998712359,0.0380952380952381,0.07402118142858194
MDD,2997,0.8660706988575059,0.8660706988575059,0.04761904761904762,0.0752516001748773
Control,3047,0.6301352772010551,0.6301352772010551,0.0,0.057975932603937554
