mediator,a,a_se,a_p,b,b_se,b_p,c,c_p,c_prime,c_prime_se,c_prime_p,indirect,CI_lo,CI_hi,sig_MC,prop_mediated,n_obs,n_subjects,p_indirect_proxy,q_fdr
BHOL7,0.22009291910477338,0.08223165347280713,0.007439583957635447,3.239507531111645,0.44725282087823126,4.3846647374084227e-13,1.515149468575521,0.026619244978882652,0.7313783031773495,0.648346981031789,0.25929197017380623,0.7129926689842594,0.17522225817652065,1.2952626949582557,True,0.47057579715523695,322,103,0.007439583957635447,0.12276634861138942
BAI19,0.20498335688258443,0.08630044856796779,0.01753804980162706,3.283618797537019,0.4139018821660094,2.133524368488398e-15,1.515149468575521,0.026619244978882652,0.8369648603778526,0.623209746002859,0.17927500221098736,0.6730872038418935,0.10863802903435753,1.2742492901342966,True,0.444238154585964,322,103,0.01753804980162706,0.12276634861138942
BHOL2,0.17739020488585677,0.0843656632179894,0.03549767905215582,3.5334368745893583,0.43295577292677945,3.31723674958025e-16,1.515149468575521,0.026619244978882652,0.7843978485582059,0.6334891425211101,0.21563512814568064,0.6267970911346477,0.035860433483055815,1.2484635544546052,True,0.41368663893202273,322,103,0.03549767905215582,0.19878700269207258
BHOL11,0.21335496868054737,0.08536420611367568,0.012442160591624084,2.902513231736876,0.4309442359793798,1.6365858691504288e-11,1.515149468575521,0.026619244978882652,0.8510194040639226,0.650257188377881,0.19062149339325396,0.6192656196520955,0.1222085479839258,1.1639481104555591,True,0.408715861039309,322,103,0.012442160591624084,0.12276634861138942
HAMD2,0.21266859675327918,0.08603439648337291,0.013439635279291234,2.701970869461422,0.4248236962926291,2.0146900172000612e-10,1.515149468575521,0.026619244978882652,0.9368810797599275,0.6540544477611742,0.152023479855182,0.5746243532765983,0.1082437915148219,1.0964054452336047,True,0.3792525854342514,322,103,0.013439635279291234,0.12276634861138942
PHQ9,0.09571864726689688,0.08618190617121178,0.26671546855871653,4.232340395428596,0.3917440895692751,3.3010347209385416e-27,1.515149468575521,0.026619244978882652,0.941148093054254,0.5876412051990761,0.1092508918685594,0.4051138974234687,-0.31725961911779954,1.1187629091612754,False,0.26737553345435916,322,103,0.26671546855871653,0.4392960658614155
BHOL19,-0.12950296989241547,0.08182501539490573,0.11349398841193864,-3.053391419618126,0.45728512266362453,2.4352433205715037e-11,1.515149468575521,0.026619244978882652,1.0541654848898108,0.6540546052773337,0.10701869077677993,0.3954232570845659,-0.0937358809658886,0.9382014894009886,False,0.2609797021915772,322,103,0.11349398841193864,0.3677878913304248
BAI14,0.11411304424929691,0.08040569337428907,0.15583606094216693,3.283474564558795,0.4473608121264582,2.141431911902514e-13,1.515149468575521,0.026619244978882652,1.1594936073037032,0.6356692174967281,0.0681442350450531,0.37468727827693865,-0.1477679468984462,0.9184601286512277,False,0.24729393769263153,322,103,0.15583606094216693,0.3677878913304248
PHQ4,0.1310345250081858,0.08889583417686431,0.14047533553115948,2.604170814966432,0.41079685143237327,2.3078832126257548e-10,1.515149468575521,0.026619244978882652,1.0810345956161953,0.6471477042719225,0.09482831333642366,0.34123628577930654,-0.11646906991851583,0.8283657376334402,False,0.22521625282297883,322,103,0.14047533553115948,0.3677878913304248
BHOL6,-0.11906673329542145,0.08422949842305565,0.15747968011622926,-2.8368390990334813,0.44139604420031164,1.3017256684280385e-10,1.515149468575521,0.026619244978882652,1.1443162955241482,0.6514045186182343,0.07897053422291986,0.3377731644066432,-0.1280872675601699,0.8556210251481102,False,0.22293058962968396,322,103,0.15747968011622926,0.3677878913304248
BAI15,0.11159781510446733,0.0834325909912724,0.18103319202214174,2.9967172062285194,0.43704367842182856,7.042449307423183e-12,1.515149468575521,0.026619244978882652,1.1751109873600027,0.6423133397339694,0.06732503470577032,0.3344270927010662,-0.16134728971540102,0.8530380693689047,False,0.22072217932101465,322,103,0.18103319202214174,0.3825544287153311
