feature,b_cross,SE_cross,CI_lo,CI_hi,p_cross,b_AR,p_AR,n,n_subj,q_cross
liwc_focus_future,0.00727286356581265,0.044716000698231374,-0.08036888733538876,0.09491461446701406,0.870797432040988,0.6141579636881241,4.24861026007884e-10,244,89,0.970717869834186
liwc_colons,0.008718613019703824,0.054790114603221675,-0.09866803831143274,0.11610526435084038,0.8735684359394201,0.6146360876023036,5.038116898460347e-10,244,89,0.970717869834186
liwc_abstract,0.0070820534106616935,0.04590036886578125,-0.08288101644337317,0.09704512326469655,0.8773796131193604,0.6119493440366893,6.311860146449699e-10,244,89,0.970717869834186
liwc_we,0.00534811573204605,0.04836083444818897,-0.08943737804870831,0.10013360951280041,0.9119432642399927,0.6131452751567269,4.85032077093035e-10,244,89,0.9767008622433262
liwc_informal_language,-0.004759169094778459,0.045528720320324366,-0.09399382118481113,0.08447548299525422,0.9167478564958971,0.609751214387846,8.256287347697413e-10,244,89,0.9767008622433262
liwc_conjunctions,0.0044318685692841765,0.04559033057560591,-0.08492353740217863,0.09378727454074699,0.922559060107272,0.6096699229100662,9.33312919232845e-10,244,89,0.9767008622433262
liwc_perceptual_processes,-0.004026873728466167,0.04564813690469478,-0.09349557802302164,0.08544183056608931,0.9297053892929772,0.6109541754752336,7.625800854307204e-10,244,89,0.9767008622433262
liwc_auxiliary_verbs,0.004012003902773616,0.04550469208131885,-0.08517555370419631,0.09319956150974355,0.9297440900200893,0.6116769425369004,6.263415887129614e-10,244,89,0.9767008622433262
liwc_work,0.0033946523319472823,0.045520786538104804,-0.08582444983067386,0.09261375449456843,0.9405539202504929,0.6128202038171636,7.650325678542592e-10,244,89,0.9781760770605126
liwc_see,-0.0024269715611571546,0.04716974907031969,-0.09487798089877544,0.09002403777646115,0.9589654571778115,0.6125198892332963,4.998617034711867e-10,244,89,0.9874495796682415
liwc_interrogatives,0.001016551412297967,0.04639000383702298,-0.08990618535094198,0.09193928817553791,0.9825172299574743,0.6134673209495679,7.066179305764338e-10,244,89,0.9927948975883732
liwc_communion_language,-0.0009741354366699479,0.04639609034861651,-0.09190880154342472,0.08996053067008482,0.9832487928038697,0.6135463231839025,6.684795963023446e-10,244,89,0.9927948975883732
liwc_anger_words,-0.00030100674334308526,0.046206357828464974,-0.09086380394390482,0.09026179045721865,0.9948022967872979,0.6135226979563937,5.815674680487038e-10,244,89,0.9948022967872979
