item,coef_SSI,q_SSI,p_SSI,coef_liwc,q_liwc,p_liwc,coef_F0,q_F0,p_F0,sig_SSI,sig_liwc,sig_F0,n_sig
HAMD7,0.1573873814047978,0.00011076435813846089,9.257916501125089e-05,,,,0.05967781243100521,0.11523740402434857,0.07682493601623237,True,False,False,1
BHOL15,-0.168370861603421,0.0003956059227489139,0.0003365602626371357,,,,,,,True,False,False,1
HAMD4,0.14676057039661447,0.00047761166232085513,0.00041345487185984474,,,,,,,True,False,False,1
HAMD14,0.11257432845149459,0.004207757557833809,0.0037053387449581306,,,,,,,True,False,False,1
HAMD5,0.08129157109190671,0.04580743378686916,0.04102158249570373,,,,,,,True,False,False,1
HAMD6,0.06328896133125608,0.12342222789384362,0.11236949106752926,,,,,,,False,False,False,0
HAMD13,0.04547533948935959,0.32256257896696855,0.29849074471570225,,,,,,,False,False,False,0
HAMD12,0.03811470624996491,0.33907426487064035,0.3188310251768708,0.049680638652192376,0.39763691896000486,0.3578732270640044,,,,False,False,False,0
HAMD17,-0.03142933352803944,0.6052068135315363,0.5781080009853481,,,,,,,False,False,False,0
HAMD15,-0.016006743772738263,0.730402072512498,0.7085990255718264,,,,,,,False,False,False,0
HAMD16,-0.002837798917720633,0.9409941169837878,0.9377642767979704,-0.004133110460828651,0.9361831726426851,0.9361831726426851,,,,False,False,False,0
HAMD8,0.003259305778850886,0.9409941169837878,0.9409941169837878,,,,,,,False,False,False,0
